Serial No,GRE Score        ,Toefl Score ,Ielts Score,Department,CGPA,Research,Project,Work Experience ,University Ranking,University rating
342,316,112,8,cse,3.71,0,0,0,60,4
343,313,100,7,cse,3.53,0,0,0,60,4
344,307,82,6.5,cse,3.39,0,0,1.5,60,4
345,306,98,7,cse,3.65,0,0,0,60,4
346,314,112,8,cse,3.36,0,2,1.5,60,4
347,307,105,7.5,cse,3.55,1,1,3.5,60,4
348,313,99,7,cse,3.58,3,3,1.5,60,4
349,315,102,7.5,cse,3.55,2,6,3.9,60,4
350,318,108,7.5,cse,3.9,3,2,2.6,60,4
351,315,107,7.5,cse,3.58,1,1,1.6,60,4
352,317,114,8,cse,3.68,2,4,0.3,60,4
353,310,112,8,eee,2.48,0,0,0,304,1
354,311,92,6.5,cse,3.3,0,1,1.1,227,2
355,297,100,7,cse,2.8,0,0,0,227,2
356,305,88,6.5,cse,3.48,0,0,0,227,2
357,310,85,6.5,cse,3.33,0,0,1,227,2
358,285,98,7,cse,3.2,1,3,0,209,2
359,292,98,7,cse,2.75,0,1,0.2,209,2
360,318,70,6,cse,3.04,0,0,0,209,2
361,322,85,6.5,cse,3.17,0,1,1.5,209,2
362,325,102,6.5,cse,3.49,0,0,0.5,209,2
363,323,70,6,civil,3,0,1,1.5,209,2
364,320,98,7,civil,3.65,0,1,4,209,2
365,327,85,6.5,eee,3.46,0,0,0,209,2
366,309,99,7,eee,3.55,0,0,0,209,2
367,319,101,7,ds,3.14,0,3,0,209,2
368,317,105,7.5,ds,3.07,0,2,0.5,209,2
369,327,112,8,ds,3.46,0,1,0,209,2
370,322,98,7,ds,3.9,0,1,5,209,2
371,320,112,8,cse,3.65,0,0,0.5,58,4
372,327,112,8,cse,3.65,0,0,3,58,4
373,316,105,7.5,cse,3.58,0,0,0,58,4
374,300,98,7,cse,3.62,0,1,2,58,4
375,310,112,8,ds,3.62,0,6,1,58,4
376,308,98,7,ds,3.68,0,0,2,58,4
377,301,100,7,ds,3.81,0,1,1,58,4
378,322,98,7,ds,3.68,0,12,0,58,4
379,308,91,6.5,eee,3.58,0,1,0.5,58,4
380,323,98,7,eee,3.04,0,1,1,58,4
381,323,105,7.5,cse,3.78,0,0,0,67,4
382,320,105,7.5,cse,3.65,0,0,3,67,4
383,317,114,8,cse,3.81,0,1,2,67,4
384,324,94,6.5,cse,3.68,0,0,2.5,67,4
385,322,101,7,cse,3,0,0,0,67,4
